Time,Consumption
2011-12,382.69446871274795
2012-01,400.4658636198933
2012-02,392.07118913866475
2012-03,345.77271668932644
2012-04,313.12742015268617
2012-05,281.23669391845635
2012-06,259.1922916298236
2012-07,258.4515938960512
2012-08,251.9616865646618
2012-09,263.93348078455585
2012-10,317.10799849475814
2012-11,346.18466822798035
2012-12,389.43139008274807
2013-01,394.5740439261962
2013-02,349.2943268498747
2013-03,377.7318298360087
2013-04,304.052502143055
2013-05,277.77780621164146
2013-06,252.24771202348015
2013-07,250.80038112634685
2013-08,245.98139917797027
2013-09,264.8893015631918
2013-10,296.8452006767509
2013-11,334.46303451400433
2013-12,365.7985520096024
2014-01,362.01345835339134
2014-02,304.21386212503864
