Time,Consumption
2011-12,440.93519222146557
2012-01,446.9340215935886
2012-02,430.72150185345185
2012-03,373.26533574010176
2012-04,348.52530067496974
2012-05,316.6375156314422
2012-06,291.46875676242445
2012-07,284.6111290175247
2012-08,274.6924506376228
2012-09,297.1626446015729
2012-10,363.24960461404845
2012-11,405.8033535310507
2012-12,452.99054880424
2013-01,463.9738742658795
2013-02,409.07606565827
2013-03,443.09432033650256
2013-04,346.66380893209083
2013-05,313.4454421484112
2013-06,281.4231336912534
2013-07,271.1188365613205
2013-08,265.6965382729529
2013-09,298.32400748300677
2013-10,337.6636883634016
2013-11,390.3171610291307
2013-12,422.3040874599187
2014-01,423.6501419428648
2014-02,353.8589215627039
