Time,Consumption
2011-12,367.69291977099573
2012-01,380.157528466566
2012-02,345.04812930719083
2012-03,310.87075274234263
2012-04,272.3746526595669
2012-05,240.73231740272604
2012-06,223.07992109340393
2012-07,225.2915619714803
2012-08,222.19427644827798
2012-09,224.14482016575013
2012-10,262.57607594477156
2012-11,280.02650850833356
2012-12,314.27509871856586
2013-01,315.24047924007414
2013-02,280.202159372645
2013-03,302.57972670291815
2013-04,255.12329614291932
2013-05,237.5562928574557
2013-06,218.2711824215106
2013-07,222.76877802183478
2013-08,218.52952314823509
2013-09,225.82667642831873
2013-10,250.13176755827885
2013-11,272.5685995431366
2013-12,299.54756465658215
2014-01,294.122540924474
2014-02,249.64210689680888
